"ID_SOURCE","SOURCE_TYPE","CREATED","CREATED_BY"
"CUST_SF","CUSTOMER SuccessFactors","2022-08-30 07:45:38.576000000","I556767"
"TARGET_DPI","TARGET","2022-08-30 07:45:38.576000000","I556767"
"SCT_Test_s","SCT_TEST_S","2022-08-30 07:45:38.576000000","I556767"
"S4FINANCE","S4FINANCE","2022-08-30 07:45:38.576000000","I556767"
"??","??","2022-08-30 07:45:38.576000000","I556767"
"SCT_TEST","SCT_TEST","2022-08-30 07:45:38.576000000","I556767"
"CUSTOMER_CONFIGURATION","CUSTOMER_CONFIGURATION","2022-08-30 07:45:38.576000000",""
"SAP_SCT","SAP_SCT","2022-08-30 07:45:38.576000000",""
